company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
Atlassian,Sydney,Other,500,0.05,3/6/2023,Post-IPO,Australia,210
SiriusXM,"New York City",Media,475,0.08,3/6/2023,Post-IPO,"United States",525
Alerzo,Ibadan,Retail,400,NULL,3/6/2023,"Series B",Nigeria,16
UpGrad,Mumbai,Education,120,NULL,3/6/2023,Unknown,India,631
Loft,"Sao Paulo","Real Estate",340,0.15,3/3/2023,Unknown,Brazil,788
"Embark Trucks","SF Bay Area",Transportation,230,0.7,3/3/2023,Post-IPO,"United States",317
Lendi,Sydney,"Real Estate",100,NULL,3/3/2023,Unknown,Australia,59
UserTesting,"SF Bay Area",Marketing,63,NULL,3/3/2023,Acquired,"United States",152
Airbnb,"SF Bay Area",,30,NULL,3/3/2023,Post-IPO,"United States",6400
Accolade,Seattle,Healthcare,NULL,NULL,3/3/2023,Post-IPO,"United States",458
Indigo,Boston,Other,NULL,NULL,3/3/2023,"Series F","United States.",1200
Zscaler,"SF Bay Area",Security,177,0.03,3/2/2023,Post-IPO,"United States",148
MasterClass,"SF Bay Area",Education,79,NULL,3/2/2023,"Series E","United States",461
"Ambev Tech",Blumenau,Food,50,NULL,3/2/2023,Acquired,Brazil,NULL
Fittr,Pune,Fitness,30,0.11,3/2/2023,"Series A",India,13
CNET,"SF Bay Area",Media,12,0.1,3/2/2023,Acquired,"United States",20
Flipkart,Bengaluru,Retail,NULL,NULL,3/2/2023,Acquired,India,12900
Kandela,"Los Angeles",Consumer,NULL,1,3/2/2023,Acquired,"United States",NULL
Truckstop.com,Boise,Logistics,NULL,NULL,3/2/2023,Acquired,"United States",NULL
Thoughtworks,Chicago,Other,500,0.04,3/1/2023,Post-IPO,"United States",748
